Başlık,İçerik
"Cumhurbaşkanı Yardımcısı Yılmaz, Tacikistan Sanayi ve Yeni Teknolojiler Bakanı Kabir'i kabul etti","Cumhurbaşkanı Yardımcısı Cevdet Yılmaz, Tacikistan Sanayi ve Yeni Teknolojiler Bakanı Sherali Kabir ve beraberindeki heyeti kabul etti."
"Milli Savunma Bakanlığı'ndan ""EFES-2024"" paylaşımı","Milli Savunma Bakanlığı, EFES- 2024 Birleşik Müşterek Fiili Arazi Tatbikatı’nın Seçkin Gözlemci Günü faaliyetlerinde kara, deniz ve hava unsurlarının hedefleri başarıyla imha ettiğini açıkladı."
Cevdet Yılmaz: Özel sektörle somut kazanımlar elde etmeyi amaçlıyoruz,"Cumhurbaşkanı Yardımcısı Cevdet Yılmaz, ""Yapısal reform gündemimiz doğrultusunda özel sektörle her daim işbirliği ve eş güdüm halinde somut kazanımlar elde etmeyi amaçlıyoruz"" dedi."
EFES-2024 Tatbikatı başarıyla tamamlandı,"Türk Silahlı Kuvvetlerinin en büyük birleşik, müşterek tatbikatlarından EFES-2024 Tatbikatı, başarıyla tamamlandı."
Bakan Güler: İhtiyaç duyulan tüm bölgelerde çabalarımızı sürdüreceğiz,"Milli Savunma Bakanı Yaşar Güler, ""İhtiyaç duyulan tüm bölgelerde güvenlik, barış ve huzurun tesisine yönelik çabalarımızı da sürdüreceğiz."" dedi."
Beşiktaş'taki gece kulübü yangınıyla ilgili iddianame hazırlandı,"Beşiktaş'ta gece kulübünde tadilat sırasında çıkan ve 29 kişinin ölümüyle sonuçlanan yangına ilişkin 9 şüpheli için ayrı ayrı 22,5 yıla kadar hapis istemiyle iddianame hazırlandı"
Cumhurbaşkanı Erdoğan: Teröristan kurulmasına izin vermeyeceğiz,"Cumhurbaşkanı Recep Tayyip Erdoğan, ""Türkiye, güney sınırlarının hemen ötesinde Suriye'nin ve Irak'ın kuzeyinde bölücü örgütün bir teröristan kurmasına asla izin vermeyecektir"" dedi."
İzmir Adli Yargı Adalet Komisyonu Başkanı'nın yetkisi sonlandırıldı,İzmir Adli Yargı Adalet Komisyonu Başkanı hakkında kamuoyuna yansıyan görüntüler ve iddialarla ilgili olarak Hakimler ve Savcılar Kurulunca inceleme ve soruşturma başlatıldı. Başkanın ayrıca yetkisi sonlandırıldı.
Aile ve Gençlik Fonu'na 9 bin 485 başvuru yapıldı,Aile ve Sosyal Hizmetler Bakanlığı tarafından gençlere kredi desteği sunulması adına hayata geçirilen Aile ve Gençlik Fonu'na bugüne kadar 9 bin 485 başvuru yapıldı.
Kıyılardaki kaçak yapılaşma WhatsApp ihbar hattı ile önlenecek,"Çevre, Şehircilik ve İklim Değişikliği Bakanlığı, sahil ve deniz üzerindeki kaçak yapıların önüne geçmek ve vatandaşların plajlara rahat şekilde ulaşabilmesini sağlamak için ""Çevre-Deniz WhatsApp İhbar Hattı""nı devreye aldı."
"21 ilde ""kripto"" operasyonu: 1 milyar dolarlık vurgun yapan çete çökertildi",Ankara merkezli 21 ilde nitelikli dolandırıcılık suçunu işleyen şüphelilere yönelik “Sibergöz-42” operasyonları düzenlendi. 1 milyar dolar haksız kazanç elde ettiği tespit edilen ve uluslararası dolandırıcılık eylemi gerçekleştiren 127 şüpheli yakalandı.
"""Dışişleri Güçlendirme Vakfı"" kuruluyor","Meclis Genel Kurulu'nda 'Dışişleri Teşkilatını Güçlendirme Vakfı'nın kurulmasına ilişkin kanun teklifi kabul edildi. Buna göre; vakıfla eğitim, kültür ve tecrübe aktarımı sağlanacak. Emekli olan diplomatların tecrübe ve bilgilerinden faydalanılacak."
Yabancı askerler EFES-2024 Tatbikatı'ndaki tecrübelerini paylaştı,"Milli Savunma Bakanlığı, EFES-2024 Tatbikatı'nda görev yapan dost ve müttefik ülke askerlerinin tatbikata ilişkin tecrübelerini anlattığı bir video paylaştı."
TSK personeline ilişkin kanun teklifi TBMM Milli Savunma Komisyonunda kabul edildi,"Türk Silahlı Kuvvetleri Personel Kanunu'nda değişiklik öngören 59 maddelik teklif, Meclis Savunma Komisyonu'nda kabul edildi. Teklife göre, askeri personelin ilişik kesmeyle sonuçlanan disiplin cezalarına denetim yolu açılacak. Türk Silahlı Kuvvetleri personelinin kimlik ve görevlerinin yayınlanması yasaklanacak."
"Bakan Koca, Kazak, Katarlı ve Azerbaycanlı mevkidaşlarıyla görüştü","Bakan Koca Cenevre'de, Kazak, Katarlı ve Azerbaycanlı mevkidaşlarıyla ayrı ayrı görüştü."
EFES-2024'te milli silahlar hedefleri tam isabetle vurdu,"45 ülkeden yaklaşık 11 bin personelin katılımıyla gerçekleştirilen EFES-2024 Tatbikatı'nın gece safhası nefes kesti. Tatbikatın seçkin gözlemci günü kapsamında hedefler uzun ve orta menzilli tanksavar füzeleri, ATAK helikopterleri ile KORKUT hava savunma sisteminin de bulunduğu yerli ve milli silah sistemlerince tam isabetle vuruldu."
"Bakan Yerlikaya, bazı milletvekilleriyle bir araya geldi","İçişleri Bakanı Ali Yerlikaya, Ege ve Akdeniz bölgelerinin milletvekilleriyle bir araya geldi."
